IGN,LVL,CULVERT,FLAG
Exor,280,"29,318",0
Zugan,283,"28,874",0
NandoLab,282,"26,454",300
tomotokun,281,"25,353","1,000"
Hypnotism,280,"23,490",0
Smellymel,281,"22,177",0
STDballs,281,"22,137",0
Agriasoaks,281,"21,109",0
SingularityX,281,"20,296",0
RococoDok,280,"20,135",350
AYoungPan,280,"18,957",0
Kyenesis,282,"18,945",0
Burial,281,"18,370",0
buncho,280,"17,742",0
MysticalStep,281,17.489,0
RedEntei,277,"15,082",0
Zeeyoung,276,"13,836",0
HeWhoBuc,277,"12,190",0
FujiNW,275,"12,034",0
Goma,281,"11,354",0
AgriasOaks,276,"11,006",0
NaroXY,280,"10,975",0
Koeie,280,"10,442","1,000"
Osmosium,273,"9,711",0
helloyesok,261,"9,585",0
coolcat66,271,"9,492",0
blkicecoffee,278,"9,368",0
ShiroUni,276,"9,321",0
SmackYaD,280,"9,014",0
shootemqu,273,8.885,250
FairyErda,279,"8,810",250
FindingRa,277,"8,122",0
PoeBow,271,"8,103",0
Couronne,276,"8,003",0
linkskillxyy,268,"7,324",0
Charmante,277,"7,247",200
Ostentat,281,"7,050",0
Explosia,271,"7,022",0
XxAW,274,"6,911",0
Channel,261,"6,660",250
ArkR1,272,"6,642",0
LegaSynn,275,"6,421",0
SatsumaB,276,"6,373",0
ExiledCrown,275,"6,334",0
Pedelle,271,"6,213",0
Goma,261,"5,559",0
Cullis,279,"5,558",0
Alivya,277,"5,313",0
AnnyWithaY,276,"5,301",100
Coronadena,266,"5,273",100
SomaSet,279,"5,236",0
STDswords,264,"4,977",0
Robust,265,"4,607",0
SingleStep,269,"4,511",0
Jin99,272,"4,363",0
Equiness,262,"4,336",0
oWill,268,"4,310",0
Aggression,262,"4,189",0
Jayras,265,"4,089",0
Azaghal,261,3.979,0
ExcaliCrown,267,"3,913",0
MaJorG,261,3.775,0
FantAdelee,268,3.765,0
Minterr,262,3.707,200
Seihin,262,3.645,100
joyjoos,260,"3,581",100
Snooted,261,3.431,0
MauricioS,266,"3,422",300
Chiivess,274,"3,217",0
Tonigiri,266,"2,951",0
sut1ven,268,"2,659",0
Demonictiz,250,"2,416",450
Arkeustwo,260,"2,364",250
AdelePyrusX,273,"2,340",100
sadweeken,265,"1,945",100
Hadal,254,"1,861",0
Maokie,261,"1,695",100
PathJutsu,263,"1,682",100
LoveGoes,261,"1,609",0
sranghae,268,"1,500",100
Consumab,253,"1,401",0
Powerleap,265,"1,347",100
FakerlsU,256,"1,321",0
BishopHo,260,906,0
Jettentat,261,872,100
MashBuccd,250,728,800
BuccaR1,254,725,100
PhaseRus,261,659,100
PointyNiipsBowmaster,263,624,100
LiamDropp,261,573,0
MauricioSb,260,428,0
FujiHero,242,392,0
abowtym,244,329,100
SmittyKitty,262,319,100
Dathuwu,252,309,100
Yannii,250,292,100
PyrusILma,254,252,100
Klobrille,262,240,100
Hyascinth,245,230,100
Ketiew,260,173,250
IEatPillsThunder,241,166,100
Blowmysou,230,146,100
CUBANHO,265,144,100
Orvius:,265,0,0
Ailiou,276,0,0
Anamiyawa,258,0,0
AnillaZeta,250,0,0
AoiBean,260,0,0
Aoifene,247,0,0
Arsteia,268,0,800
ArwenWindx,250,0,0
Atargattis,261,0,0
BISHOPerb,260,0,0
BrackMamaCannon,267,0,0
CoronaHer,272,0,0
Cthuguu,260,0,0
Darkman4,260,0,0
DauntlessWild,261,0,0
DeadlvBlaze,260,0,0
