IGN,LVL,CULVERT,FLAG
Zugan,284,"30,750",0
NandoLab,282,"30,415",0
Góma,282,"29,794",0
tomotokun,282,"27,946","1,000"
Kyenesis,283,"27,340",0
Smellymellons,282,"26,903",0
SingularityX,282,"26,649",100
AgriasOäks,282,"24,826",0
BuriaI,282,"23,463",0
bunch0,281,"23,128",350
AYoungPanda,280,"22,820",650
Hypnotism,281,"22,701",0
STDBalls,281,"22,295",0
RedEntei,278,"19,350",0
ShiroUni,278,"18,618",0
NaroXY,281,"16,470",0
Zeeyoung,276,"15,690",0
HeWhoBuccs,278,"15,678",0
Osmosium,276,"13,653",0
FujiNW,276,"13,238",0
oolcat66,276,"12,331",0
AgriasOäks,276,"12,188",0
SmackYaDad,281,"12,028",0
shootemquile,275,"12,004",300
SatsumaBushi,277,"11,998",0
helloyesok,261,"11,358",0
0rvius,266,"10,573",0
ExiledCrown,277,"10,196",450
Alivya,279,"9,884",0
Charmante,278,"9,760",0
PoeBow,273,"9,628",0
Ostentat,281,"9,262",0
MysticalStep,281,"9,222",0
linkskillxyy,270,"9,189",0
joosyyu,276,"9,118",100
Couronne,276,"9,092",0
Explosia,274,8.898,0
FindingRawrs,278,"8,762",100
CoronaHeroX,274,"8,470",0
Góma,261,"8,273",0
LegaSynn,276,"8,261",0
JobuTupaky,280,"7,577",250
ArkR1,273,"7,264",350
XxAW[?],275,"7,173",0
Aillou,277,"7,078",0
STDswords,268,"6,928",0
EightLD,270,"6,563",0
Student625,278,"6,314",0
SomaSet,280,"6,276",0
Sut1ven,275,"6,254",0
warlock[?],270,"6,075",0
Channel,261,"6,026","1,000"
Snooted,266,"5,972",0
Minterr,268,"5,946",100
AnnyWithaY,277,"5,914",300
Robust,265,"5,722",0
WaterBender,271,"5,615",100
jin99,274,"5,543",0
Aggression,262,"5,528",0
MauricioS,270,"5,319",550
Azaghal,262,"5,229",0
Chiivess,276,"5,158",100
goatnuts,267,"4,899",0
Seihin,264,"4,424",250
FairParadox[?],266,"4,423",100
Jayras,266,"4,359",100
Arsteia,272,"4,276","1,000"
Equiness,263,"4,253",0
SIMP4CHAEWON,273,"3,603",0
AdelePyrusX,275,"3,419",100
goatnuts,260,"3,358",0
Ralogreenday,266,"3,240",100
MaJorG,262,"3,141",0
joyjoos,260,"3,082",100
Sadweekend,267,"2,830",200
Maokie,263,"2,751",300
ConsumabIe,260,"2,586",0
Demonicitized,250,"2,521",400
LoveGoes,263,"2,323",0
PathJutsu,265,"2,055",100
Hadal[?],258,"2,014",0
Invert,267,"1,710",100
BuccaR1[?],260,"1,618",350
Kunfumita,264,"1,330",0
MauricioS,260,928,650
JoniPally,264,767,0
Jettentat,261,755,100
Akunaii,261,703,300
StumblsRuThunderBreaker258[?],258,662,100
xIllusionZ[?],262,603,100
Klobrille,268,370,100
Dathuwu,252,331,100
PyrusILmage,260,330,0
HerosHonor,250,278,100
Ketiew,260,266,350
SuhcMyDawn,242,28,100
Anamiyawante,258,0,0
AnnillaZeta,250,0,0
Aoibean,260,0,0
Aoifene[?],247,0,0
Arkeustwo,260,0,0
ArwenWindx,251,0,0
