IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,282,"31,354",300
Zugan,Shadower,284,"30,443",0
AgriasOäks,Hero,282,"29,652",450
tomotokun,Thunder Breaker,282,"28,363","1,000"
SingularityX,Hero,282,"27,624",0
Kyenesis,Kinesis,283,"24,625",0
BuriaI,Dawn Warrior,282,"23,075",0
Smellymelons,Night Walker,282,"23,006",0
Góma,Marksman,283,"22,431",0
STDBalls,Illium,281,"19,626",0
ShiroUni,Bishop,278,"16,824",100
MysticalStep,Phantom,281,16.671,0
HeWhoBuccs,Buccaneer,278,"16,150",0
Zeeyoung,Hoyoung,276,"15,582",0
NaroXY,Night Lord,281,14.469,100
FujiNW,Night Walker,276,"14,459",100
AgriasOäks,Adele,276,"12,738",0
coolcat66,Arch Mage (F/P),277,"12,313",0
0rvius,Illium,266,"11,333",0
Ostentat,Mechanic,281,"11,294",250
SatsumaBushi,Hayato,277,"11,129",0
blkicecoffee,Bowmaster,280,"10,586",0
helloyesok,Cadena,261,"10,280",800
Explosia,Bishop,275,"10,226",0
PoeBow,Pathfinder,274,"10,064",0
SmackYaDad,Kain,281,"10,044",0
Alivya,Bishop,280,"9,380",0
Channel,Buccaneer,261,"9,249",350
Charmante,Kinesis,279,"9,111",250
LegaSynn,Night Lord,276,"9,076",0
ExiledCrown,Night Lord,277,"8,581",300
Aillou,Arch Mage (I/L),277,"8,141",0
shootemquile,Wind Archer,276,"8,131",200
Osmosium,Hero,277,"7,524",0
JobuTupaky,Shadower,280,"7,364",200
XxAvV,Adele,275,"7,310",0
Sut1ven,Dawn Warrior,275,7.108,0
ArkR1,Ark,274,"6,995",100
CoronaHeroX,Hero,274,"6,749",100
Azaghal,Mihile,262,"6,728",350
WaterBender,Zero,272,"6,682",0
jin99,Adele,275,"6,526",100
Snooted,Wind Archer,268,"6,471",0
SomaSet,Dark Knight,280,"6,368",100
Robust,Shade,265,"6,123",0
Góma,Bowmaster,261,"6,116",0
warlock,Night Lord,271,"6,014",0
EightLD,Buccaneer,270,"5,987",0
Student625,Bishop,278,"5,973",0
oWill,Night Lord,273,"5,966",0
joosyyu,Dawn Warrior,276,"5,634",100
STDswords,Adele,269,"5,309",0
MauricioS,Bishop,271,"5,064",250
Chiivess,Bishop,277,"5,048",100
FairParadox,Hero,267,"4,957",100
Aggression,Buccaneer,262,"4,908",0
Jayras,Dawn Warrior,267,"4,840",100
Arsteia,Bowmaster,273,"4,830",800
Seihin,Dawn Warrior,264,"4,669",200
MaJorG,Aran,262,"4,327",0
Equiness,Hoyoung,263,"4,320",100
BrackMama,Cannon Master,270,"4,181",0
Ralogreenday,Phantom,267,"3,189",100
ConsumabIe,Shadower,261,"3,121",0
SIMP4CHAEWON,Wind Archer,274,"3,097",100
joyjoos,Buccaneer,261,"3,002",100
FujiBow,Bowmaster,260,"2,584",100
Demonicitized,Demon Avenger,250,"2,438",400
LoveGoes,Night Lord,265,"2,160",100
AdelePyrusX,Adele,275,"2,134",100
Jettentat,Hero,261,"1,593",100
BuccaR1,Buccaneer,261,"1,431",100
Hádal,Buccaneer,259,"1,067",0
darkman420,Night Walker,262,"1,046",0
MauricioS,Buccaneer,260,"1,036",250
JoniPally,Paladin,266,973,0
xillusionZ,Pathfinder,262,943,100
Kunfumita,Kanna,264,898,0
Akunaii,Blade Master,261,887,100
Invert,Battlemage,267,883,100
Klobrille,Bishop,270,507,100
PyrusILmage,Arch Mage (I/L),260,504,100
BobingtonNL,Night Lord,261,472,0
IEatPills,Thunder Breaker,251,385,100
Dathuwu,Kanna,253,337,100
Ketiew,Shade,260,216,300
AYoungPanda,Xenon,280,0,250
Anamiyawante,Evan,258,0,0
AnnillaZeta,Lara,250,0,0
AnnyWithaY,Cadena,277,0,0
Aoibean,Bowmaster,260,0,0
Aoifene,Kaiser,247,0,0
Arkeustwo,Ark,260,0,0
ArwenWindx,Wind Archer,252,0,0
Atargattis,Wind Archer,261,0,0
BISHOPerbia,Bishop,260,0,0
Blowmysoup,Wind Archer,236,0,0
CUBANHOODRAT,Buccaneer,265,0,0
Coronadena,Cadena,270,0,0
Couronne,Bowmaster,276,0,0
Cullis,Blade Master,279,0,0
DeadlyBlaze,Blaze Wizard,261,0,0
