IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,286,"60,686",0
Zugan,Shadower,287,"50,036",0
Smellymel,Night Walker,285,"46,340",0
Agriasoaks,Hero,285,"40,270",0
buncho,illium:,285,"38,452",0
Sachdad,Kain,285,"37,891",0
joosty,Dawn Warrior,283,"37,561",0
AYoungPan,Xenon,283,"37,158","1,000"
jonipally,Paladin,285,"34,838",0
SingularityX,Hero,286,"34,182",0
NaroXY,Night Lord,284,"31,096",0
ShiroUni,Bishop,282,"30,596",300
MysticalStep,Phantom,285,"30,362",0
Cessation,Hero,284,"26,904",0
DWBob,Dawn Warrior,284,"26,481",300
Chiivess,Bishop,283,"24,233",0
Charmante,Kinesis,282,"23,667",0
SatsumaB,Hayato,278,0,0
Sentanapica,Bishop,271,0,0
SerAmida,Hayato,266,0,0
Shiroldol,Angelic Buster,260,0,0
Snooted,Wind Archer,272,0,0
SolEXCrownDawn,Warrior,252,0,0
SweetPlata,Bishop,263,0,0
ThatsoEvan,Evan,271,0,0
TigerThorn,Kanna,255,0,0
URAQT,Angelic Buster,260,0,0
Waokie,Hayato,263,0,0
Waowa,Wind Archer,262,0,0
WaterBend,Zero,278,0,0
Wexarm,Mercedes,260,0,0
Winterwinta,Phantom,273,0,0
bunchwalk,Night Walker,263,0,0
discountMe,Wind Archer,261,0,0
fdfdfgea,Demon Slayer,265,0,0
geminisea,Shadower,261,0,0
kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (l/L),278,0,0
sadweeken,Lara,271,0,0
sut1ven,Dawn Warrior,275,0,0
xIllusionZ,Pathfinder,262,0,0
xIMeowless,Lynn,265,0,0
shootemqu,Wind Archer,281,"22,629",800
AgriasOaks,Adele,276,"21,239",0
ExiledCrown,Night Lord,283,"20,469",800
Ostentat,Mechanic,284,"19,390",0
Zeeyoung,Hoyoung,277,"19,203",0
CoronaHer,Hero,280,"19,173",0
Malfe,Night Walker,280,"16,910",0
Channel,Buccaneer,270,"16,459",0
XxAW,Adele,280,"16,169",300
Ailiou,Arch Mage (I/L),281,"15,042",0
PoeBow,Pathfinder,280,"14,818",0
Arsteia,Bowmaster,281,"14,049","1,000"
helloyesok,Cadena,262,"13,738",0
IHinoel,Wild Hunter,284,"13,555",0
abb2be2,Angelic Buster,280,"13,140",0
Fieldsoflce,Arch Mage (I/L,280,"13,120",0
ArkR1,Ark,277,"12,504",500
goatnuts,Night Walker,277,"12,169",0
Student625,Bishop,283,"11,992",0
GreenHero,Hero,280,"11,814",0
Seihin,Dawn Warrior,275,"10,050",700
OJeezOWe,Arch Mage (F/P),281,"9,518",0
joyjoos,Buccaneer,265,"9,428",700
Robust,Shade,266,"9,388",0
Minterr,Buccaneer,274,"8,710",0
GUINS00S,Wind Archer,277,"8,449",0
ShyGuy69,Demon Slayer,278,"8,410",0
Azaghal,Mihile,263,"8,300",0
AnnyWithaY,Cadena,281,"7,984",0
SadDuck,Blade Master,277,"7,267",300
Herfo,Hero,276,"7,242",0
Aggression,Buccaneer,262,6.858,0
Darkman4,Night Walker,275,"6,730",300
BrackMamaCannon,Unknown,0,0,0
LeSqueech,Bishop,280,"6,608",300
DaddyDoo,Marksman,276,"6,243",700
LoveGoes,Night Lord,274,"6,178",300
p8kerF4c3,Hero,267,"5,978",300
Invert,Battle Mage,275,"5,857",500
goatnuts,Kanna,264,"5,704",0
ExcaliCrown,Hero,275,"5,477",0
MesolessHo,Shadower,275,"5,457",0
Andiology,Hero,278,"5,434",500
Wharchers,Wind Archer,277,"5,242",300
Jin99,Adele,278,"4,649",300
XRTheodore,Night Lord,274,"4,542",0
Arestei,Phantom,271,"4,462",300
buffabpiz,Hayato,250,"4,196",0
PathJutsu,Pathfinder,276,"4,065",300
SmollNippy,Bishop,273,"3,683","1,000"
eAnNyah,Wind Archer,270,"3,683",300
Synchronite,Zero,261,"3,582",500
Maydis:,Lynn,270,"3,576",300
Femtas,Arch Mage (F/P,273,"3,534",300
AdelePyrusX,Adele,278,"3,443",300
Icysilk,Night Lord,265,3.424,0
DongSoldierDawnWarrior,Unknown,0,0,0
Josh,Evan,272,"3,241",300
Hadal,Buccaneer,262,"3,091",0
thundervouThunderBreaker272,Unknown,0,0,0
Snowden,Bowmaster,275,"3,014",0
gyaradoofWind,Archer,261,"2,890",0
Drolo,Zero,268,"2,636",300
SuhcMyDa,Dawn Warrior,274,"2,579",300
NatsumeR,Lynn,264,"2,434",0
Demonictiz,Demon Avenger,250,"2,433",800
ManasAB,Angelic Buster,272,"2,387",300
Winderoos,Wind Archer,271,"2,372",300
Kunfurmita,Kanna,264,"2,367",700
FujiBow,Bowmaster,261,"2,213",300
Dysturbed,Phantom:,265,"2,171",300
KalePesto,Corsair,252,"2,027",0
CocoaPeb,Night Walker,260,"1,775",700
antchb,Aran,263,"1,712",300
Excellent,Blade Master,266,"1,221",900
Fairysusu,Mercedes,270,"1,174",300
Susah,Bowmaster,276,"1,015",300
Sneakochair,Shadower,266,905,300
YeRangE,Hero,262,841,0
RecordcakePathfinder272,Unknown,0,0,0
Ketiew,Shade,260,555,0
